text,label,named_label
" הפועל ירושלים [א1] הותיר [/א1] את מכבי נתניה אחת משלוש הקבוצות היחידות שעדיין לא השיגו ניצחון, כאשר גבר על הנתנייתים 1 0 ודירדר אותם לשכנות - במצוקה עם שני סוגרי הטבלה מחולון ומכפר סבא. הקבוצה הסימפטית מכפר סבא הפכה למסננת של הליגה וכל קבוצה מייחלת להתמודד עם כפר סבא, [א2] המחלצת [/א2] את יריבותיה מהמשבר.",1,AFTER
" אהרון דב קמחי היה כעשר שנים יו""ר ומנהל העסקים של חברה-בת של הסוכנות היהודית העוסקת בבנייה: דיור לעולה בע""ם. קמחי [א1] הודח [/א1] מתפקידו בדיור לעולה, בסוף שנת 7891, על-ידי נציגי הסוכנות דירקטוריון החברה, למרות שהיה לו חוזה עבודה [א2] מובטח [/א2] לתקופה קצובה של עוד כשלוש שנים.",1,AFTER
" לטובת חיפה שיחקו גם שלוש קבוצות צמרת הצמודות אליו, שהפסידו [א1] ואיפשרו [/א1] לחיפאים לנצל את ההזדמנות הזו במלואה. אל המקום השני [א2] נסוג [/א2] בית""ר ירושלים, שירד לנגב ואיפשר למארחו בבאר שבע להשיג את ניצחונו הראשון העונה (2 0), אחרי סידרה בלעדית מפתיעה של 5 תיקו בזה אחר זה.",0,BEFORE
" הוחלט שהחברה [א1] תכין [/א1] הערכה כלכלית הנוגעת לשוויה. עוד [א2] התבקשה [/א2] כי""ל להכין את שורת המגבלות שיש להציב בפני ""גרייט לייקס"", המבקשת לרכוש את השליטה בחברה.",1,AFTER
" אבל שם לפחות [א1] נזהרים [/א1] מלחקות ונשארים נאמנים לעצמם. הגישה שלהם שונה מגישת הטלוויזיה הצרפתית: הם [א2] מתרכזים [/א2] בשרטוט מצוין של דיוקנאות סופרים, ובאמצעותם הם מגיעים אל היצירה עצמה.",1,AFTER
" הרושם הזה התחזק כשהתברר שמכתב [א1] ששיגר [/א1] עו""ד דרוויש נאסר, פרקליטה של משפחת ההרוג, ללשכת שר המשטרה דאז, חיים בר-לב, לא טופל כלל, ושפניות של ח""כ דדי צוקר ושל אדי קאופמן (מעבידו של מובארק) לא נענו אף הן. רק לחץ הפרסומים ב""הארץ"" [א2] הניע [/א2] את המערכת לפעול.",0,BEFORE
 בינואר-אוקטובר השנה [א1] הסתכם [/א1] היבוא נטו ב21 מיליארדי ד והיה גבוה ב51% לעומת התקופה המקבילה אשתקד. היצוא נטו [א2] עלה [/א2] ב8% והגיע ל1.,1,AFTER
" מי שמשקיף על הליגה מלמעלה הוא יורם חרוש, מאמן הפועל ירושלים, שבעונה השניה שלו אחרי מחצית עונת אשתקד, בה החליף את היוגוסלווי פארוק קולאנוביץ [א1] מציג [/א1] תלכיד מצויין. אמנם ירושלים שיחקה רק בשני מישחקי חוץ מתוך שבעה, אבל [א2] ניצחה [/א2] בהם את מכבי תל אביב (98 66) ואת הפועל תל אביב (79 38).",1,AFTER
" הליגה שלנו מתחילה להיות כמו הליגה האיטלקית, עם הרבה ניצחונות חוץ. אני [א1] בטוח [/א1] [א2] שננחל [/א2] הפסדים נוספים למרות שתיאורטית, אם לא נפסיד עד סוף הליגה ונשמור על יתרון 32 נק מול מכבי, נהיה ראשונים"".",0,BEFORE
" 84 דיירים המתגוררים ברחוב החלמונית 3, 5 ו7 בקריית ראשון בראשון-לציון הגישו השבוע סדרה של תביעות נגד סולל בונה. התביעות [א1] שהוגשו [/א1] לבית-משפט השלום ברחובות [א2] מסתכמות [/א2] בכמיליון ש""ח.",0,BEFORE
" לדבריו הוקם באלביט גוף שמפקח על הקניות ובודק כל הזמנה המיועדת לחו""ל, אם ניתן לרכוש אותה בארץ. עוד [א1] נמסר [/א1] כי אלביט תעביר לרשות לשיתוף פעולה את רשימות החברות בחו""ל שמהן היא קונה מוצרים, כדי שהרשות [א2] תפעל [/א2] להשגת רכש גומלין מאותן חברות.",0,BEFORE
 אלפי כרטיסים נמכרו וההתעניינות לא [א1] נותרה [/א1] רק באשדוד. שחקני הפועל [א2] הצהירו [/א2] לא אחת כי ההצלחות של עירוני פגעו ביכולתם.,3,VAGUE
" כהנא היה אגוצנטרי מכדי לחלק את כוחו הפוליטי עם גורם אחר. לכן פלט מהמעגל הקרוב אליו אנשים כמו יואל לרנר, אלי אדיר ויוסי דיין, [א1] שיצגו [/א1] שכבה חברתית שונה מזו שעמה [א2] נמנים [/א2] רוב אנשי ""כך"".",2,EQUAL
" כהנא אומר בו לערבים שהוא איננו [א1] שונא [/א1] אותם. הוא אוהב יהודים [א2] ומבין [/א2] בהחלט שהערבים מתעבים את היהודים, ורואים בהם זרים שבאו להשתלט על ארצם ועל אדמתם.",1,AFTER
" בינתיים ראשון לציון מפתיעה. [א1] אומר [/א1] ברקוביץ: ""גם בשנה שעברה היינו הפתעת הליגה בסיבוב הראשון, ואתם [א2] יודעים [/א2] מה קרה בסופו של דבר.",1,AFTER
" בספרו ""שאלות לא נוחות ליהודים נינוחים"" [א1] כתב [/א1] לא פחות ולא יותר, שאילו מעמד הר סיני היה מתנהל עתה, היה הוא, כהנא, המפרש הנכון של משה. הוא [א2] האמין [/א2] שבימים אלה יש להתנהג כמו בתקופת יהושע בן נון בעת שהוריש את הארץ.",3,VAGUE
" שחקני החיזוק הולקומב ופירסון עשו את המוטל עליהם וקלעו את מיכסת הנקודות שמצפים מהם (ביחד 94 נקודות). האכזבה באה דווקא מבינו, שלא הצליח להתמודד עם גבוהי הפועל, [א1] ומעושה [/א1] המשחק שוורצמן [א2] שאיבד [/א2] כדורים רבים.",2,EQUAL
" אני גם מוכן להסתכן ולשער כי ההורה, או קבוצת ההורים שהתנגדה לטיול, מסתתרים תחת המעטה של טיעון פוליטי נבוב ולמעשה הם פוחדים לשלוח את ילדיהם שמא איזה ערבי [א1] ינעץ [/א1] בהם סכין בגב. אני מוכן, ורוצה, לשלוח את הילד שלי לירושלים עם זר פרחים ועם קופסת ממתקים, כדי להביע הוקרה ועידוד לנכד של אבא קובנר, שחטף סכין בראש מידי אותו מרצח שפל [א2] שדקר [/א2] למוות שלושה יהודים בשכונת בקעה.",1,AFTER
