,text,label,named_label
0," הם טענו כי מעמדם < נמצא > עתה בסכנה, עקב קירבתם ללוי, וכי שר החוץ עצמו אינו נחלץ להגן עליהם. הם אמרו כי בלית ברירה < ינסו > לגייס תמיכה של חוגים במפלגה נגד הדחות שרון.",0,BEFORE
1," קשרי מכבי, נימני, קלינגר, זוהר ושוהם שהחליף את מלמיליאן הפצוע, גילו עליונות בולטת במרכז השדה ולאחר החמצה של קלינגר בדקה העשירית עלו ליתרון (91): זוהר פרץ באין < מפריע > באגף הימני, שילח כדור למרכז הרחבה וקלינגר הצליח במה שנכשל קודם ובבעיטה מ-8 מטרים קבע 1 0. דקה לאחר השער < שספגו > נותרו החולונים עם עשרה שחקנים, פעם רביעית בעונה זו, כשהמורחק התורן הוא אילן חכים שבעט ללא כדור באלי דריקס וראה את כרטיסו האדום של שיינר.",0,BEFORE
2," ועל כך תעיד ההיסטוריה, ויעידו עשרות הלוחמים שנשארו בחיים < והצליחו > לבצע את משימתם על אף האבדות הכבדות. במלחמת העצמאות, בקרב על ירושלים, < נשארה > שכונת קטמון תקועה בלב ירושלים המערבית ושימשה כמרכז כוח ערבי רב ומאורגן.",3,VAGUE
3," עם זאת, נמנעו חברות הביטוח מלנקוט בצעדים נגד הסוכנות בגלל היקפי ביטוח חיים הגדולים שסוכנות זו מוכרת. באחרונה הגיעה הקרן להסכם עם אחד המפעלים הגדולים < המתמחים > בתעשייה עתירת-ידע, לפיו 1,000 העובדים בו < יצטרפו > לקרן.",0,BEFORE
4," מנכ""ל משרד התיירות < הדגיש > בדבריו לפני הנוכחים, כי בעוד הטמפרטורה בבודפשט היא אפס מעלות, מראה הטמפרטורה באילת 82 מעלות צלסיוס. לדברי רוזנטל, < הושלמו > בהצלחה המגעים עם סיטונאי התיירות של בריטניה, שהתחייבו להמשיך ולפרסם את ישראל בתוכניות קיץ 19.",0,BEFORE
5," ל, יו""ר המושב בו הירצו קיסר, ושר האוצר, אמר קיסר: ""מר אורי, או החבר אורי, אם היית חבר בהסתדרות הייתי מקבל ממך מס אחיד גבוה. קפכות במסגרת יום העיון שערך אתמול המרכז הישראלי לניהול הודיע מנכ""ל המי""ל, כי < נבחר > פה אחד ליו""ר המי""ל, < וזכה > למחיאות כפיים באולם גן אורנים.",0,BEFORE
6,"השבוע, ביום שלישי לפני הצהריים, כמה שעות לאחר שנודע על הרצחו של מאיר כהנא, עמד צעיר בעל עצמות לחיים גבוהות בקומת הכניסה של מטה ""כך"" בירושלים ונשא דברים מתלהמים. על מסירות הנפש של מאיר כהנא שהפך לקורבן עולה; על שוטרים ערבים < המפקחים > על כניסת יהודים להר הבית ועל הקשר שיש להם עם ארגוני חבלה ערביים < שהכינו > רשימה של יהודים שיש להתנקש בחייהם; על כך שמהיום והלאה מוטב לכל ערבי להתבונן היטב סביבו, עשרים וארבע שעות ביממה, משום שמישהו עלול לארוב לו.",3,VAGUE
7," הממונה על הכנסות המדינה באוצר, יורם גבאי, < אמר > שכל המסים בישראל מחושבים כאחוז מהמחיר. מחירי הדלק עלו ולכן המס בהם < עלה > ריאלית.",1,AFTER
8," האב לא איבד את שלוות רוחו, < שלח > אצבע ארוכה לעבר בנו, וקרא: ""יש לי רק יצירה אחת גרועה ממנה, וזה אתה"". דיומא הבן המתין בסבלנות עד < שיגוועו > גלי הצחוק שמילאו את האולם.",0,BEFORE
9,"חברת אלביט < הקימה > גוף אשר < יעסוק > בשיתוף פעולה תעשייתי ויקיים קשר עם הרשות לשיתוף פעולה במשרד התעשייה והמסחר. כך מסר חיים גולן, מנהל הרשות לשיתוף פעולה, שחזר מביקור בחברה.",0,BEFORE
