Unnamed: 0,id,document_number,window_number,pair_number,text,hadar,shir,curated,label
19,1.6.14,1,6,14," המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר [א1] שיתברר [/א1] אם הטורניר יהיה בישראל. המאמן רז [א2] ביקש [/א2] שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד.",VAGUE,AFTER,,AFTER
781,1.1.1,1,1,1," ישראל ואוסטרליה [א1] יתמודדו [/א1] עם ניו זילנד בטורניר הקדם עולמי לנוער, שיהיה בפברואר-מארס 1991. אתמול [א2] ביקשה [/א2] אוסטרליה באורח רשמי מידע על משחקי מיבחן של הנבחרת הישראלית בתקופה הקרובה.",AFTER,AFTER,,AFTER
854,1.11.29,1,11,29," בבית זה משובצת גם יוון. רז היה אמור לצפות במשחק אימון בין נערי טורקיה ופולין באמצע השבוע, ולהמתין לנבחרת ישראל [א1] שתגיע [/א1] לאיסטנבול בעוד שבוע, אך [א2] התברר [/א2] כי נערי פולין כלל לא יגיעו לטורקיה.",AFTER,AFTER,,AFTER
1075,1.7.22,1,7,22," המאמן רז ביקש שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא [א1] יצא [/א1] לפועל בגלל חוסר תיאום לגבי המועד. בינתיים [א2] התבטלה [/א2] גם תכניתו של רז לצאת לטורקיה כדי לעקוב אחרי נבחרת הנוער (ב) של ארץ זו.",VAGUE,VAGUE,BEFORE,BEFORE
1271,1.5.7,1,5,7," ישראל היתה אמורה לארח את הטורניר, אך פיפ""א [א1] הודיעה [/א1] כי בגלל המשבר במפרץ תחליט רק בדצמבר היכן יהיו המשחקים. המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר [א2] שיתברר [/א2] אם הטורניר יהיה בישראל.",BEFORE,BEFORE,,BEFORE
1279,1.6.17,1,6,17," המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר שיתברר אם הטורניר יהיה בישראל. המאמן רז [א1] ביקש [/א1] שנבחרת הנוער [א2] תתמודד [/א2] עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד.",BEFORE,BEFORE,,BEFORE
1727,1.2.4,1,2,4," אתמול ביקשה אוסטרליה באורח רשמי מידע על משחקי מיבחן של הנבחרת הישראלית בתקופה הקרובה. מאמן הנבחרת (נוער א) אמנון רז [א1] הגיב [/א1] אתמול: ""אין לי מה להשיב להם, כי כרגע לא [א2] מתוכננים [/א2] לנו משחקי אימון"".",AFTER,AFTER,,AFTER
2144,1.6.16,1,6,16," המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר [א1] שיתברר [/א1] אם הטורניר יהיה בישראל. המאמן רז ביקש שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא [א2] יצא [/א2] לפועל בגלל חוסר תיאום לגבי המועד.",AFTER,VAGUE,,VAGUE
2548,1.5.10,1,5,10," ישראל היתה אמורה לארח את הטורניר, אך פיפ""א הודיעה כי בגלל המשבר במפרץ תחליט רק בדצמבר היכן יהיו המשחקים. המאמן רז אמר, כי קביעת משחקי המיבחן [א1] תיעשה [/א1] רק לאחר [א2] שיתברר [/א2] אם הטורניר יהיה בישראל.",AFTER,AFTER,,AFTER
2738,1.2.3,1,2,3," אתמול [א1] ביקשה [/א1] אוסטרליה באורח רשמי מידע על משחקי מיבחן של הנבחרת הישראלית בתקופה הקרובה. מאמן הנבחרת (נוער א) אמנון רז הגיב אתמול: ""אין לי מה להשיב להם, כי כרגע לא [א2] מתוכננים [/א2] לנו משחקי אימון"".",VAGUE,AFTER,VAGUE,VAGUE
2875,1.5.9,1,5,9," ישראל היתה אמורה לארח את הטורניר, אך פיפ""א הודיעה כי בגלל המשבר במפרץ [א1] תחליט [/א1] רק בדצמבר היכן יהיו המשחקים. המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר [א2] שיתברר [/א2] אם הטורניר יהיה בישראל.",BEFORE,EQUAL,BEFORE,BEFORE
2877,1.5.6,1,5,6," ישראל היתה אמורה לארח את הטורניר, אך פיפ""א [א1] הודיעה [/א1] כי בגלל המשבר במפרץ תחליט רק בדצמבר היכן יהיו המשחקים. המאמן רז אמר, כי קביעת משחקי המיבחן [א2] תיעשה [/א2] רק לאחר שיתברר אם הטורניר יהיה בישראל.",BEFORE,BEFORE,,BEFORE
3000,1.11.27,1,11,27," בבית זה [א1] משובצת [/א1] גם יוון. רז היה אמור לצפות במשחק אימון בין נערי טורקיה ופולין באמצע השבוע, ולהמתין לנבחרת ישראל שתגיע לאיסטנבול בעוד שבוע, אך [א2] התברר [/א2] כי נערי פולין כלל לא יגיעו לטורקיה.",BEFORE,BEFORE,,BEFORE
3001,1.7.21,1,7,21," המאמן רז ביקש שנבחרת הנוער [א1] תתמודד [/א1] עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד. בינתיים [א2] התבטלה [/א2] גם תכניתו של רז לצאת לטורקיה כדי לעקוב אחרי נבחרת הנוער (ב) של ארץ זו.",VAGUE,VAGUE,AFTER,AFTER
3193,1.10.25,1,10,25, ישראל [א1] צועדת [/א1] בראש הבית לאחר ניצחונה על שוייץ 2 0. בבית זה [א2] משובצת [/א2] גם יוון.,AFTER,AFTER,,AFTER
3227,1.11.28,1,11,28," בבית זה [א1] משובצת [/א1] גם יוון. רז היה אמור לצפות במשחק אימון בין נערי טורקיה ופולין באמצע השבוע, ולהמתין לנבחרת ישראל שתגיע לאיסטנבול בעוד שבוע, אך התברר כי נערי פולין כלל לא [א2] יגיעו [/א2] לטורקיה.",BEFORE,BEFORE,,BEFORE
3344,1.6.19,1,6,19," המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר שיתברר אם הטורניר יהיה בישראל. המאמן רז ביקש שנבחרת הנוער [א1] תתמודד [/א1] עם האולימפיים של פולין, אך המשחק לא [א2] יצא [/א2] לפועל בגלל חוסר תיאום לגבי המועד.",EQUAL,EQUAL,,EQUAL
3430,1.6.13,1,6,13," המאמן רז אמר, כי קביעת משחקי המיבחן [א1] תיעשה [/א1] רק לאחר שיתברר אם הטורניר יהיה בישראל. המאמן רז ביקש שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא [א2] יצא [/א2] לפועל בגלל חוסר תיאום לגבי המועד.",VAGUE,VAGUE,,VAGUE
3685,1.7.20,1,7,20," המאמן רז [א1] ביקש [/א1] שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד. בינתיים [א2] התבטלה [/א2] גם תכניתו של רז לצאת לטורקיה כדי לעקוב אחרי נבחרת הנוער (ב) של ארץ זו.",BEFORE,BEFORE,,BEFORE
