id,document_number,window_number,pair_number,text,label
126.4.9,126,4,9," הסמינר [א1] כולל [/א1] מסע לאפקוט ועבודה מעשית בציור או רישום. סמינר ממושך מקצועי יותר החל השנה, [א2] ונערך [/א2] שלושה ימים.",BEFORE
54.26.144,54,26,144," ח""כ ראובן ריבלין, שהתמודד על התפקיד, ביקש לפחות להתמנות כחבר בוועדת חוץ וביטחון, בעקבות פינוי מקום לסיעה בוועדה זו בשל פרישתו של הח""ך לשעבר זלמן שובל, אך הסיעה החליטה לדחות את ההחלטה בעניין. ח""כים אחדים טענו בהנהלת הסיעה כי ריבלין [א1] פסול [/א1] כחבר בוועדת חוץ וביטחון מפני שלא [א2] השתתף [/א2] השבוע בהצבעה במליאת הכנסת על הסרת חסינותו של ח""כ מוחמד מיעארי.",AFTER
126.5.12,126,5,12," סמינר ממושך מקצועי יותר [א1] החל [/א1] השנה, ונערך שלושה ימים. בנוסף להכרת הסביבה, [א2] ילמדו [/א2] המשתתפים את סודות הניהול של המקום, ויישמו את חלקם בשטח.",BEFORE
29.0.0,29,0,0,"מי היה [א1] מאמין [/א1] לפני כמה חודשים, כי הדרבי של אשדוד יהיה המשחק המדובר ביותר בליגה הארצית ואולי אף יותר מכך. שתי הקבוצות מעיר הנמל, הפועל ועירוני, [א2] נאבקו [/א2] בליגה א על כרטיסי העליה לארצית ואכן עשו זאת.",BEFORE
135.23.71,135,23,71," כעבור יומיים, הוא טילפן אלי, לירושלים, הודיע לי שבדק את כל קו הייצור [א1] ומצא [/א1] כי אין תקלה בתרופה עצמה, אלא שהיא יבשה מהרגיל ומתפוררת יותר. הוא [א2] הבטיח [/א2] לשלוח לי בדואר חוזר משלוח מלא מקו ייצור קודם.",BEFORE
60.3.56,60,3,56," לדבריו [א1] הוקם [/א1] באלביט גוף שמפקח על הקניות ובודק כל הזמנה המיועדת לחו""ל, אם ניתן לרכוש אותה בארץ. עוד נמסר כי אלביט תעביר לרשות לשיתוף פעולה את רשימות החברות בחו""ל שמהן היא [א2] קונה [/א2] מוצרים, כדי שהרשות תפעל להשגת רכש גומלין מאותן חברות.",AFTER
128.25.135,128,25,135," ""בני"". אז [א1] שינה [/א1] המו""ל את טעמו והחל לשלם לו לפי הברות, ומיד [א2] הופיעה [/א2] בספר דמות חדשה של גיבור מגמגם.",BEFORE
26.21.89,26,21,89," [א1] נותר [/א1] רק הקול הנפלא ויכולת הקריאה. במשך שעה תמימה ישוב באחוזתו היפהפייה שתיכנן בעצמו כסדרה של תפאורות במה בנוף פסטורלי ירוק, והמוות [א2] מרחף [/א2] בחלל האוויר הוא קורא משיריהם של מילטון, שייקספיר, אודן, ומהסונטות של אליזבת בראונינג.",BEFORE
22.23.109,22,23,109," פחד מחסידיו של כהנא, ממתנחלים ומתלמידי ישיבות ברובע המוסלמי, שרובם חמושים ולא ברור אם הרשויות [א1] יחסמו [/א1] אותם. מה שמרגיע מעט את הפחד בציבור הערבי הוא הידיעה, שבנסיבות הפוליטיות הנוכחיות פגיעה בערבים [א2] גורמת [/א2] נזק עצום לישראל.",AFTER
122.15.341,122,15,341," לא מי-יודע-מה בהשוואה לציפיות המתעוררות בלב לקוח תמים למקרא הודעת הבנק! לעומת זאת, הלקוח התמים [א1] יתקשה [/א1] להבין מהודעת הבנק, שאם יסכים לקבל את ""התנאים הניתנים לחוסכים ותיקים בלבד"", יפסיד במעבר מתוכנית לתוכנית. במקרה של הלקוחה הנ""ל היה מדובר במדד אוקטובר, הנאמד בכשני אחוזים [א2] ושקול [/א2] כנגד ריבית של שנתיים.",VAGUE
22.28.119,22,28,119," האמריקאים לא [א1] יתנו [/א1] זאת, והמסר שהיה בעמדת ואשינגטון במועצת הביטחון ובפרשת המשלחת לשטחים היה ברור מאוד. אם מישהו חשב לפני שלושה שבועות שאישים כמו חוסייני [א2] יגורשו [/א2] מכאן, הנה עתה מוכרחה ישראל לעשות הכל כדי שערבים לא ייפגעו.",VAGUE
128.12.95,128,12,95," השטן, בהגינותו הרבה, מבהיר מראש, כי לא יוכל להעניק לטיבו את כל הטוב [א1] שיחפוץ [/א1] בו, אלא רק לדאוג לכך שכל הרע שיאחל לזולתו אמנם יתגשם. בתמורה [א2] דורש [/א2] השטן שערה אחת משערות ראשו של טיבו עם התגשמות האיחול הרע הראשון, שתיים עם השני, ארבע עם השלישי וכן הלאה.",AFTER
133.19.53,133,19,53," גם החוק הפלילי החדש, שאושר אחרי שנות מאבק פוליטי, מסייע בעקיפין לפשע. החוק [א1] המגן [/א1] על האזרח [א2] מגן [/א2] למעשה על הפושעים של הדרום.",EQUAL
60.3.64,60,3,64," לדבריו הוקם באלביט גוף שמפקח על הקניות [א1] ובודק [/א1] כל הזמנה המיועדת לחו""ל, אם ניתן לרכוש אותה בארץ. עוד נמסר כי אלביט תעביר לרשות לשיתוף פעולה את רשימות החברות בחו""ל שמהן היא [א2] קונה [/א2] מוצרים, כדי שהרשות תפעל להשגת רכש גומלין מאותן חברות.",AFTER
128.14.114,128,14,114," טיבו זונח את אומנות הסנדלרות ומתקיים על הציד שצדים למענו זאבי היער [א1] הכפופים [/א1] כמובן ישירות לשטן. הוא רוכש לעצמו בגדים נאים [א2] ונהנה [/א2] מחברתן של נשים יפות, למעלה ממעמדו.",BEFORE
54.7.39,54,7,39," האיום לא השפיע על שרון. בכירים במחנה לוי, שראו כיצד [א1] מתייחס [/א1] שרון אל סלוצקי, [א2] הביעו [/א2] כעס רב על שר החוץ, ש""נטש חלק מנאמני המחנה המכהנים במשרות בכירות בחברות השיכון הממשלתיות ובמשרד השיכון"" כדבריהם.",BEFORE
124.14.39,124,14,39," הבנות בעיקר סובלות מ""ציפיות סותרות"" של הוריהן, אומר היועץ הפסיכולוגי בבתי-ספר בברלין, גומהור טקבאסרן: המסר הוא ""אסור לך לבלוט אבל את חייבת להישאר טורקייה"" (לבלוט בסביבה ולעורר את לעגה על-ידי בגדים הנחשבים צנועים ומטפחת ראש), סתירה שאינה ניתנת ליישוב. כמעט כל הילדים בגילאי בית-ספר הבאים למשרד לייעוץ משפחתי בוואדינגר [א1] סובלים [/א1] מהרטבת לילה, [א2] אומר [/א2] טקבסארן.",BEFORE
133.27.96,133,27,96," גם כוחות המשטרה יתוגברו. הממשלה [א1] סירבה [/א1] לקבל את הצעתו של שר המשפטים להעניק פרס מיוחד לשופטים העובדים בדרום, בטענה שהדבר [א2] יגרור [/א2] אחריו פרסים למשטרה האזרחית והצבאית ולפקידי ממשלה רבים אחרים באזורי סכנה.",BEFORE
124.19.65,124,19,65, כאשר מדובר בכבוד המשפחה יכולות אימהות להיות מסוכנות במיוחד לבנותיהן. אישה בת 24 באה למרפאה שם [א1] התלמדה [/א1] בתה בת ה91 כאסיסטנטית רפואית [א2] וניסתה [/א2] לדקור אותה בסכין לחם.,BEFORE
135.16.48,135,16,48," היות שהתכוונתי לתת את הפירות במתנה, התקשרתי בערב אל מנהל החנות ושאלתי אם יוכל לשלוח לי ביום ששי שקדים ואגוזי לוז טריים (אין לי מכונית והחנות רחוקה מביתי). ביום ששי בצהריים [א1] בא [/א1] שליח מיוחד מהחנות [א2] והביא [/א2] ארבע אריזות, שבכל אחת מהן רבע ק""ג פיצוחים, שקדים, אגוזים וכו, קלופים ומצוינים.",EQUAL
128.26.137,128,26,137," אז [א1] שינה [/א1] המו""ל את טעמו והחל לשלם לו לפי הברות, ומיד הופיעה בספר דמות חדשה של גיבור מגמגם. אחרי שיחה נזעמת בארבע עיניים [א2] הגיעו [/א2] דיומא והמו""ל להסכם שכר חדש.",BEFORE
26.2.13,26,2,13," התוכנית הזו [א1] שידרה [/א1] יומרנות תרבותית שלא הצדיקה את עצמה, ותחושה של נחיתה בטריטוריה גבולית סמוכה. אולי אשם המדיום הטלוויזיוני, [א2] שמצטייר [/א2] כאלרגי לספרות ולתרבות, וכל מעייניו מרוכזים בחיפוש אחר בידור בכל מחיר.",BEFORE
31.7.146,31,7,146," בתחום זה לא נעשה דבר: הסכמי העבודה נשארו קשוחים כשהיו, השכר [א1] נקבע [/א1] בשיטות ריכוזיות על בסיס הצמדות וללא כל זיקה למצב בשוק העבודה, והאיגודים המקצועיים המשיכו להפעיל זכויות בלעדיות במשא ומתן עם המעסיקים על מקומות העבודה ותנאיה, תוך התעלמות ממצב המשק. סביר להניח שהממשלה השמרנית החדשה תמשיך במדיניות הליברליזציה; היא [א2] קיבלה [/א2] לשם כך מנדט מהבוחרים.",BEFORE
133.18.45,133,18,45," מול הפשע הזה [א1] עומד [/א1] ממשל, שחלק ממנהיגיו נהנה ישירות או בעקיפין מהמצב הזה. גם החוק הפלילי החדש, שאושר אחרי שנות מאבק פוליטי, [א2] מסייע [/א2] בעקיפין לפשע.",BEFORE
92.9.24,92,9,24," טענו בפניו שהוא [א1] כורת [/א1] את הענף של הביטוח עליו הוא יושב. עם זאת, [א2] נמנעו [/א2] חברות הביטוח מלנקוט בצעדים נגד הסוכנות בגלל היקפי ביטוח חיים הגדולים שסוכנות זו מוכרת.",BEFORE
33.30.117,33,30,117," לא זכויות אזרח, ולא התנגדות עקרונית לכיבוש, ועל אחת כמה וכמה לא הגנה על בני ערובה, אינם ראויים למאמץ כזה. עד שארצות הברית, בהנהגת הנשיא בוש, לא [א1] תאמר [/א1] לעצמה את האמת לגבי השאלה ""מה אנחנו [א2] עושים [/א2] במדבר הסעודי"", תזכיר התנהגותה את חמורו של רידן.",AFTER
54.8.46,54,8,46," בכירים במחנה לוי, שראו כיצד [א1] מתייחס [/א1] שרון אל סלוצקי, הביעו כעס רב על שר החוץ, ש""נטש חלק מנאמני המחנה המכהנים במשרות בכירות בחברות השיכון הממשלתיות ובמשרד השיכון"" כדבריהם. הם טענו כי מעמדם [א2] נמצא [/א2] עתה בסכנה, עקב קירבתם ללוי, וכי שר החוץ עצמו אינו נחלץ להגן עליהם.",BEFORE
79.8.27,79,8,27," קבלת הפנים נערכה בסימן העיר אילת. מנכ""ל משרד התיירות [א1] הדגיש [/א1] בדבריו לפני הנוכחים, כי בעוד הטמפרטורה בבודפשט היא אפס מעלות, [א2] מראה [/א2] הטמפרטורה באילת 82 מעלות צלסיוס.",AFTER
35.2.6,35,2,6," בחגיגה על הסל של דנוור, [א1] שספגה [/א1] עד כה בממוצע 251 נקודות למשחק, השתתפו גם טרי קאמינגס עם 13 נק ושון אליוט 92 (גם לו שיא קאריירה). אורלאנדו וולדרידג [א2] קלע [/א2] 73 נק לנאגטס.",BEFORE
54.31.185,54,31,185," ריבלין האשים ""ח""כים ירושלמים (קרי: הנגבי, קורפו, ויהושע מצא) המנצלים את מעמדם בהנהלת הסיעה, כדי למנוע כל אפשרות שיכהן בחבר בוועדת חוץ וביטחון. ריבלין אמר כי על פי סיכום [א1] שנערך [/א1] עימו השבוע [א2] יצטרפו [/א2] הח""כים קופמן ויהודה פרח לוועדת הכספים, ואילו הוא יצורף לוועדת חוץ וביטחון, אך ""חבריו"" מצאו ברגע האחרון סיבה להפר את הסיכום.",BEFORE
138.2.29,138,2,29," גורמים המקורבים לתאצר אמרו שהיא רואה בשר החוץ, דאגלס הרד, את יורשה במקרה של ""תקרית אוטובוס"", מונח שמשתמשים בו כדי לציין למי למסור את השלטון אם המנהיג יידרס. הלחץ המחודש להחליפה [א1] התעורר [/א1] בעקבות תבוסה [א2] צורבת [/א2] לשמרנים בבחירות המשנה לפרלמנט בשני מחוזות.",AFTER
