id,document_number,window_number,pair_number,text,hadar,shir
99.66.56,99,66,56, [א1] חסר [/א1] לנו כוח אדם. יש ענפים שהכנסנו בהם מערכת מיחשוב [א2] וקלטנו [/א2] פקידות לעבודה להפעלת המחשבים.,VAGUE,AFTER
115.11.42,115,11,42," 0007 איש, [א1] שנדחסו [/א1] למגרש באשדוד צפו במשחק ירוד עם יתרון בולט ברוב שלביו להפועל. היציע [א2] חולק [/א2] למחנה האדום של הפועל והמחנה הצהוב של עירוני.",AFTER,EQUAL
117.6.87,117,6,87," בגלל התראה של דקות ספורות בלבד, בשיטה העתיקה והפרימיטיבית של כרוז צעקן, [א1] נמצאו [/א1] רבים שלא הספיקו למלא דליים וקומקומים. מדוע? הרי העבודות להחלפת הצנרת באותו מקום (רחוב סירקין), [א2] תוכננו [/א2] בקפדנות חודש ימים מראש.",AFTER,AFTER
15.8.35,15,8,35, העוצר שהוטל אתמול בעיירה בית חנון ובמקומות מרכזיים ברצועה [א1] יימשך [/א1] היום. גורם צבאי בכיר אמר כי הצבא [א2] הופתע [/א2] מההתפרצות הספונטאנית.,AFTER,AFTER
17.9.102,17,9,102," יש לשים לב לניסוח: טירן פולק מדבר בשפה של תחזית שהוא [א1] בטוח [/א1] שאמנם תתגשם. הוא [א2] נזהר [/א2] מלאיים בפעילות של חברי תנועת ""כך"", וייתכן כי הוא דווקא יעשה מאמץ כדי למנוע פעולות נקם, שעלולות לסבך את התנועה עם השלטונות הממונים על שמירת החוק והסדר.",EQUAL,BEFORE
63.4.28,63,4,28," כן נטען שהחופש שניתן אז ליוזמה החופשית [א1] הביא [/א1] מאוחר יותר לפיתוח כלכלי ולהרחבת היוזמה הפרטית בארץ-ישראל. בשלושה נושאים עיקריים [א2] עסק [/א2] הכנס: ביוזמות הכלכליות הלא-יהודיות שהיו בראשית המאה ברחבי ארץ-ישראל, ביוזמות הפרטיות ביישוב הישן בעיקר בירושלים ובצפת, וביוזמות ביישוב החדש, בעיקר במושבות הברון.",BEFORE,BEFORE
101.12.147,101,12,147," אבי נימני שילח כדור מתוחכם לעור [א1] שחדר [/א1] לרחבת חולון ובאין מפריע בעט שטוחות לרשתו של ביטרן. החלפתו של ארמלי הגרוע במחצית השניה ובעבר השני החלפתו התמוהה של איציק זוהר ממכבי גרמו לשינוי ביחסי הכוחות, כאשר שחקני חולון החלו ללחוץ על שער מכבי [א2] וצמצמו [/א2] בדקה ה-75 בבעיטת 11 של אבי פס לאחר הכשלת אוחנה ברחבה.",BEFORE,BEFORE
17.6.71,17,6,71," אם בעקבות הפיגועים בבקעה, באשקלון ובצומת אלונים היה מקום להעלות את הסברה כי האינתיפאדה [א1] נכנסת [/א1] לשלב חדש והיא מתחילה להרחיב את מסגרת ההתמרדות בשלטון הכיבוש למלחמה בעם היהודי, ייתכן כי זה שרצח את מאיר כהנא עומד לגרור את העם היהודי להרים את הכפפה שנזרקה לעברו מהצד הערבי-פלשתיני. עוד בטרם הלוויה אמר אחד מראשי התנועה, טירן פולק: ""זה לא יעבור בשקט, ואסור שזה [א2] יעבור [/א2] בשקט.",BEFORE,BEFORE
43.1.15,43,1,15," שחקני ראשון לציון לא היו אתמול בשיאם, אך למזלם ניצבה מולם קבוצת תחתית, כך שגם יכולת פחות מבינונית הספיקה להם לזכות בניצחון [א1] שהושג [/א1] לאחר במאמץ של הרגעים האחרונים. דקה ו-14 שניות לסיום הובילו שחקני ראשון לציון ביתרון של 91 90 בלבד, ורק יכולת טובה של חיים זלוטיקמן ויוגין בנקס [א2] הותירה [/א2] את הניצחון בבית.",EQUAL,EQUAL
115.0.3,115,0,3,"צופים, ואשר מילא כל פינה באצטדיון המקומי באשדוד, היה עד לדרבי המדובר של השבוע האחרון בו [א1] הופגנה [/א1] רמה לא משכנעת. בעיקר [א2] התאכזבו [/א2] האלפים מן העובדה שלא נכבשו שערים (0 0).",BEFORE,BEFORE
108.29.88,108,29,88," אם ננצח באחד משלושת המשחקים הבאים נגד הפועל תל אביב, מכבי תל אביב והפועל גליל עליון זה יהיה הישג אדיר, [א1] שיתן [/א1] לנו דחיפה קדימה"". מיקי [א2] סבור [/א2] שהעייפות לא תכריע את קבוצתו, כפי שכולם מנבאים, בגלל גילם המתבגר של רוב שחקניה.",AFTER,AFTER
7.30.58,7,30,58," בימי המלחמה הקרה היה טוקי אנטי-קומוניסט נלהב, והארקין היה יונה נלהבת. טוקי [א1] תמך [/א1] בכל סעיף הוצאות צבאיות אפשרי, וחייב את המאבק להפלת ממשלת ניקרגואה; הארקין רצה קיצוצים ניכרים בתקציב הביטחון, [א2] ועמד [/א2] בראש המאבק בסנאט נגד הסיוע לקונטראס.",EQUAL,EQUAL
107.12.51,107,12,51, עוזר המאמן של הגליל אילן קובלסקי אומר שקידר מעד [א1] ונחבט [/א1] במדרגות. קידר שסובל מפגיעה בלסת [א2] התקשה [/א2] לאכול והתבקש לנוח שלושה ימים.,BEFORE,BEFORE
11.85.271,11,85,271," ואין ספק שחלק נכבד מבין 50 אלף הצקים שעליהם חותמת הקרן נמסר לקבוצות כמו ""פראפראז"", כדי ""לשרטט את מסלול המורשת השחורה באיסט סייד התחתית של ניו-יורק"". עם זאת, ""טובת הכלל"", הדו""ח הגדול על סעד שפרסמה קרן פורד ב9891, [א1] סיפק [/א1] תמיכה מנומקת (בגיבוי קונסנזוס רחב להפתיע של שמות מפורסמים) לתוכנית עבודה וסעד נוקשה ויקרה למדי, שאמנם הבטיחה מקומות עבודה, אבל גם [א2] קבעה [/א2] שכל אדם ייזרק מרשימות מקבלי הסעד כעבור שנתיים.",AFTER,AFTER
101.6.17,101,6,17," חלקם אף הגיבו בשריקות מחאה. הם ודאי יודעים, כמו שחקני מכבי ומאמנם, כי לא כל שבוע [א1] פוגשים [/א1] בסנטה קלאוס, בתחפושת מאמן כדורגל וחניכיו [א2] המחלקים [/א2] מתנות לכל דיכפין במגרשם פולט הנקודות.",BEFORE,AFTER
27.91.644,27,91,644," בדיעבד [א1] הסביר [/א1] דובר צה""ל כי הודעותיו בעניין זה היו טעות. פניתי לדובר משרד המשטרה וזה מסר, לאחר בדיקה, כי העניין [א2] נתון [/א2] לחקירת משמר הגבול.",AFTER,AFTER
1.7.21,1,7,21," המאמן רז ביקש שנבחרת הנוער [א1] תתמודד [/א1] עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד. בינתיים [א2] התבטלה [/א2] גם תכניתו של רז לצאת לטורקיה כדי לעקוב אחרי נבחרת הנוער (ב) של ארץ זו.",VAGUE,AFTER
67.20.34,67,20,34," לעומת זאת, נרשמו ירידות ביצוא של ענפי המזון והכימיה. ביצוא היהלומים נרשמה עלייה של 2% בחודשיים האחרונים, ואילו ביצוא החקלאי [א1] חלה [/א1] ירידה של 71%, וזה [א2] הגיע [/א2] ל66 מיליוני ד בממוצע לחודש.",EQUAL,EQUAL
73.6.16,73,6,16," שוחט נענה לבקשה [א1] וזימן [/א1] את ברונו להופיע בישיבתה הבאה של הוועדה, ביום ב. נציגי התמ""ס, המנכ""ל צבי קורן ומנהל מרכז ההשקעות משה טרי, [א2] טילפנו [/א2] אל השר נסים ומסרו לו על החלטתו של שוחט.",BEFORE,EQUAL
