text,label,named_label
" צעדו של מראדונה [א1] בא [/א1] בעקבות תביעה של מנהלי המועדון להעניש את הכדורגלן הארגנטיני הסורר, שתחילה סירב לטוס עם נאפולי למשחק נגד ספרטק במוסקווה, אך לבסוף יצא במטוס סילון פרטי ולא מנע הדחת קבוצתו בבעיטות-11 מטרים. סמפדוריה (11 נק) [א2] תשמור [/א2] על הפיסגה אם תנצח כצפוי בביתה את פיזה.",0,BEFORE
" משבר המפרץ [א1] מלמד [/א1] את האמריקאים, בדרך הקשה, את כללי המשחק באזור הזה. סגן שר החוץ, בנימין נתניהו, [א2] הורה [/א2] לנציגי ישראל בבירות העולם להזכיר לדעת הקהל כי בנובמבר 1791 דחתה ממשלת גולדה מאיר החלטה של מועצת הביטחון לשגר לירושלים משלחת סקר, שתדווח על ההתיישבות היהודית החדשה במזרח ירושלים.",0,BEFORE
" הם היו [א1] משוכנעים [/א1] שתוצאות הבחירות יחייבו את שיתופה של ""כך"" בממשלה, וכי כהנא יהיה בעמדת מיקוח שתאפשר לו לקבוע מדיניות חדשה לחלוטין כלפי הערבים (בישראל ובשטחים; כהנא ואנשיו לא עשו הבחנה ביניהם), היינו: לבצע את רעיון הטרנספר. החלטת בג""ץ שאישרה את פסילת רשימתו של כהנא [א2] שמה [/א2] קץ לחלום, והמיטה מהלומה אנושה על ""כך"".",0,BEFORE
" מלבד המשחק בין ארסנל לקריסטל פאלאס, [א1] הסתיימו [/א1] עוד שלושה מאבקים ללא שערים: דרבי (מקום 91) מנצסטר יונייטד, סנדרלנד קובנטרי, ומאבק התחתית בין שפילד יונייטד לאוורטון עם המנהל החדש-ישן האוורד קנדל שהותיר את המארחים ללא ניצחון ליגה. אסטון וילה, שהודחה בשבוע [א2] שעבר [/א2] מגביע אופ""א בידי אינטר מילאנו, הבקיעה אתמול שער ראשון בליגה אחרי חודש מרגלי הבלם הדני קנט נילסן בדקה ה-16, אבל הסתפקה ב-1 1 במגרשה עם נוטינגהאם שהישוותה בדקה ה-87.",1,AFTER
" בעבר הייתה הבנה עם ראש הממשלה שיכהן כסגן שר במשרדו אך בפועל יתפקד כסגן שר העבודה והרווחה. העניין לא יצא אל הפועל, ולפיכך, זעם השבוע ביבי, לאחר [א1] שנודע [/א1] לו שאגודת ישראל תקבל שני סגני שרים במשרד העבודה והרווחה, וכי לו לא [א2] נמצא [/א2] מקום במשרד זה.",1,AFTER
"90) אשמח למסור מידע הנוגע לעורכי הדין ולארגונים אשר סייעו לי במאבק המשפטי המייגע. יש לציין שהמימון [א1] הכולל [/א1] שהיה אמור לכסות את כל שלבי הערכאות, כולל פנייה אפשרית לבג""ץ, [א2] בא [/א2] מ""קול קורא"", שהוא, למעשה, הזרוע הישראלית של ארגון אחר בשם ""קואליציה אמריקנית ישראלית לזכויות האזרח"".",2,EQUAL
" הוא כתב ודיבר על מעורבות הבורא במהלך העניינים הארצי. המעשה הקובע הוא רצון האל, קבע, וגם אם הוא עצמו יגיע לראשות הממשלה [א1] יבוא [/א1] אסון גדול על מדינת ישראל אם תושביה לא [א2] יחזרו [/א2] בתשובה.",1,AFTER
"יש כמה עסקני ספורט, בעיקר הוותיקים והמשופשפים שבהם, המתפקדים תחת לחץ כאילו הזמן [א1] אוזל [/א1] ויש להספיק לעשות הכל ומהר ובכל מחיר. הם מציירים מטרות על הגלובוס, ואחר כך [א2] מוצאים [/א2] סיבות שונות ומשונות להגיע אל המטרה.",0,BEFORE
" זה כ02 שנה מתאמצת חבורת שמרנים, ביניהם אירווינג קריסטול, להשיג סובסידיה פילנטרופית להוגים רבים יותר מהימין. הם סבורים שיש אירוניה בכך שמענקי קרנות [א1] באים [/א1] בדרך כלל מטיפוסים שמרניים, אך הקרן לובשת לעיתים קרובות חזות של שמאלה מהמרכז בהנהגת הפילנטרופואידים (המונח [א2] שטבע [/א2] דווייט מקדונלד בקרן פורד), שבסופו של דבר מנהלים אותם.",3,VAGUE
"עובדי מסוף המטענים בנמל התעופה בן גוריון (ממ""ן) [א1] מאיימים [/א1] לשבש את העבודה אם [א2] תמומש [/א2] התכנית של רשות החברות הממשלתיות להעמיד למכירה 62% ממניות ממ""ן ליזמים פרטיים. ועד עובדי ממ""ן שיגר בימים אלה מכתב למנכ""ל רשות החברות הממשלתיות, זאב רפואה, שבו הוא טוען שההחלטה למכור נתח זה ממניות ממ""ן לגורמים פרטיים, מהווה שינוי בעמדת החברה ופגיעה באינטרסים של העובדים, ""שהם חלק מהמלאי העסקי של החברה"", כהגדרת הוועד.",0,BEFORE
