Unnamed: 0,id,document_number,window_number,pair_number,text,hadar,shir,curated,label
4109,17.30.220,17,30,220," זה המגנה את רוצחו של מאיר כהנא, מן הראוי שישמיע את קולו נגד כל רצח, ואסור לו להיות מושפע מהשקפותיו הפוליטיות. יש ליצור אווירה ציבורית [א1] שתשים [/א1] סכר מפני תעמולתה של תנועת ""כך"", [א2] ושתרחיק [/א2] את הסכנה שיהודים ייפגעו מכלים שיקותיאל בן-יעקב קרא להפעלתם.",BEFORE,BEFORE,,BEFORE
717,37.9.40,37,9,40," טוטנהאם, המפגרת ב-5 נקודות אחרי ארסנל במקום השלישי, תארח את ווימבלדון. פיטר ריד הוותיק, [א1] שהחליף [/א1] זמנית את קולין הארווי, [א2] יוביל [/א2] ביום א את מנצסטר סיטי למשחק החוץ שלה בלידס.",BEFORE,BEFORE,,BEFORE
5283,27.59.391,27,59,391," הוא היה פונדמנטליסט מוחלט, [א1] ונהג [/א1] לומר שכאשר תתקבל תורתו יספק אלוהים פתרונות למצב שייווצר. היה בו יסוד הרסני; הוא [א2] כיוון [/א2] את תורתו ליצר הרע שבאדם.",BEFORE,VAGUE,,VAGUE
2181,48.5.56,48,5,56," שחקני החיזוק הולקומב ופירסון עשו את [א1] המוטל [/א1] עליהם וקלעו את מיכסת הנקודות שמצפים מהם (ביחד 94 נקודות). האכזבה [א2] באה [/א2] דווקא מבינו, שלא הצליח להתמודד עם גבוהי הפועל, ומעושה המשחק שוורצמן שאיבד כדורים רבים.",,BEFORE,,BEFORE
3857,11.61.155,11,61,155," גם אם לא ייווצר קונסנסוס חדש מאלכימיה זו, קרוב לוודאי שייצא כרך של ניירות. בקרב אקדמאים שאינם מוזמנים לוועידות אלה [א1] שוררת [/א1] ציניות רבה באשר למטר כרכי המאמרים והניירות [א2] המונפקים [/א2] בחסות קרנות.",AFTER,AFTER,,AFTER
4731,133.4.5,133,4,5," מאז ראשית השנה [א1] נרצחו [/א1] בעיירה 92 איש במאבק בין קבוצות הפשע השונות. המאפיה תבוא לבסיס באצטלה של ראש העיר או של מומחים ופקידים בכירים, שכן הפשע המאורגן [א2] הולך [/א2] וכובש את דרומה של איטליה.",,AFTER,,AFTER
6174,27.83.611,27,83,611," לכאורה היה מקום לחשוד במערכת החקירה והמשפט הישראלית כי רק העמידה פנים שאכן באה לחקור את הנסיבות שבהן סאלם איסמעיל מובארק ""מצא את מותו"". היו כמה תחנות בדרך גלגוליה של הפרשה, [א1] שעוררו [/א1] חשד ליחס [א2] מופקר [/א2] לחיי אדם מצד יחידות משמר הגבול הנוגעות בדבר, ולגישה צינית מצד שלטונות המשפט והחקירה.",AFTER,EQUAL,AFTER,AFTER
2084,124.55.168,124,55,168," אם יהיו לה בנות, אמרה, תתן להן חופש. ומטפחת הראש? ""אח, אלוהים"", [א1] אמרה [/א1] מליה, ""הן יקראו בעצמן בקוראן [א2] ויחליטו [/א2] בעצמן"".",,BEFORE,,BEFORE
4970,89.13.78,89,13,78," אחד החוקרים מסר כי קארן א-נוסייר, אשת החשוד, אמרה שבעלה היה לאחרונה בדיכאון. הממונה על החקירה [א1] מסר [/א1] כי התגלה שא-נוסייר היה חובב אקדחים, ובדירתו [א2] נמצאו [/א2] חוברות רבות של מגזינים המיועדים לשכירי חרב.",AFTER,AFTER,,AFTER
4909,26.14.54,26,14,54," זאנר זה [א1] נהפך [/א1] לפופולרי מאוד גם אצלנו, ועוד בנוסח האמריקאי, הפסיכולוגיסטי, שעיקרו התמודדות אמיצה עם המחלה או הפגיעה. באפוסטרוף משכילים להעניק לסיפורים אישיים ממד רוחני-תרבותי החסר בווידויים מסוג זה בכל מקום אחר, ובכך [א2] הופכים [/א2] אותם לנסבלים, ואף למעניינים.",,VAGUE,,VAGUE
4423,89.13.81,89,13,81," אחד החוקרים מסר כי קארן א-נוסייר, אשת החשוד, אמרה שבעלה היה לאחרונה בדיכאון. הממונה על החקירה מסר כי [א1] התגלה [/א1] שא-נוסייר היה חובב אקדחים, ובדירתו נמצאו חוברות רבות של מגזינים [א2] המיועדים [/א2] לשכירי חרב.",AFTER,AFTER,,AFTER
6200,11.112.348,11,112,348," אחרי הכל, כמה מחקרים בחסות קרנות הוקדשו בתקופת האובססיה הממושכת למלחמה הקרה לניסיון לגלות באיזו מידה אדם כמו סדאם חוסיין עלול להיות מסוכן? כמה מחקרים שאלו כיצד להפוך כלכלה סטליניסטית לכלכלת שוק חופשי? יש סימוכין לדעה שכיום אלו הן שתי הבעיות [א1] הדוחקות [/א1] ביותר של העולם. אך אפשר לומר בביטחון, שאף לא דולר אחד מבין למעלה מ05 מיליארד הדולרים שהוציאו קרנות בין 9791 ל9891 לא [א2] הוקדש [/א2] להבהרתן.",AFTER,AFTER,,AFTER
4172,11.56.132,11,56,132," לאנשים אלה מומלץ ליהפך לקטליזטורים: לקבץ יחד אנשים רבים [א1] היכולים [/א1] להבטיח פתרונות או שלפחות יכולים היו, אילו סגרו אותם במרכז ועידות במשך ימים, להציע פתרון. הקרנות [א2] אוהבות [/א2] יותר ויותר סימנים מוחשיים כאלה להשפעה שיש לכנסים ולהתוועדויות.",EQUAL,BEFORE,,BEFORE
1630,48.7.86,48,7,86," הדרמה הגיעה לשיאה בדקות הסיום. סל [א1] רדף [/א1] סל ובדקה ה-83 הורה לוח התוצאות על שוויון 18, 75 שניות לסיום היה להפועל יתרון 77 79, וכשנותרה שנייה לסיום נשרקה עבירה טכנית לזכות קרטר מרמת גן והוא [א2] הישווה [/א2] בשתי זריקות עונשין.",,BEFORE,,BEFORE
350,11.66.170,11,66,170," זה כ02 שנה [א1] מתאמצת [/א1] חבורת שמרנים, ביניהם אירווינג קריסטול, להשיג סובסידיה פילנטרופית להוגים רבים יותר מהימין. הם סבורים שיש אירוניה בכך שמענקי קרנות באים בדרך כלל מטיפוסים שמרניים, אך הקרן לובשת לעיתים קרובות חזות של שמאלה מהמרכז בהנהגת הפילנטרופואידים (המונח שטבע דווייט מקדונלד בקרן פורד), שבסופו של דבר [א2] מנהלים [/א2] אותם.",AFTER,VAGUE,,VAGUE
4931,17.16.123,17,16,123," אם יקותיאל בן-יעקב אמר בהספדו כי ""עתה [א1] ניתנה [/א1] רשות הדיבור לחבר תת-המקלע ולחבר סכין"", ברי כי תנועת ""כך"" מקדשת, למפרע, כל פיגוע בשופט, בחבר כנסת ובעיתונאי אשר מישהו סבור כי פגעו באופן כלשהו בכהנא. אין ודאות כי חברי התנועה המאורגנים [א2] יבקשו [/א2] לנצל את ההיתר הזה, אם כי אין להקל ראש בידיעה כי ""ייתכן שבודדים בתנועה מכינים, או יכינו בימים הקרובים, רשימות של ערבים, אנשי שמאל ותקשורת ויסמנו אותם כמטרות לפגיעה"" (""הארץ"", 811).",BEFORE,BEFORE,,BEFORE
845,131.27.69,131,27,69," בערעורי לבית הדין הארצי לעבודה בשנת 6891 [א1] ייצגה [/א1] אותי עו""ד מיכל שקד. בפנייתי לבג""ץ, האגודה לזכויות האזרח הצטרפה לשדולת הנשים בישראל, [א2] ויוצגתי [/א2] על ידי עו""ד אביגדור פלדמן מטעמה של האגודה לזכויות האזרח, יחד עם עו""ד פרנסיס רדאי משדולת הנשים בישראל.",BEFORE,BEFORE,,BEFORE
7163,17.31.227,17,31,227," יש ליצור אווירה ציבורית שתשים סכר מפני תעמולתה של תנועת ""כך"", [א1] ושתרחיק [/א1] את הסכנה שיהודים ייפגעו מכלים שיקותיאל בן-יעקב קרא להפעלתם. יש ליצור מצב שבו ""כך [א2] תבודד [/א2] מרוב יהודי ישראל.",EQUAL,BEFORE,VAGUE,VAGUE
