id,document_number,window_number,pair_number,text,hadar,shir
15.48.212,15,48,212," במחנה פליטים סמוך לשכם נפגע תושב מקומי מפגיעת רימון גז מדמיע, שנורה בידי חיילים. מקורות פלשתיניים [א1] מסרו [/א1] כי חיילים, שירדו ממיניבוס לבן בשכונת ראפידיה בשכם, [א2] ניפצו [/א2] בעזרת אבנים זגוגיות של מכוניות חונות של תושבים מקומיים, ביניהן גם את חלונות מכוניתו של דר מוסטפא מקבול.",AFTER,AFTER
17.4.46,17,4,46," האיש שנפל קורבן לכדורי אקדח שנורו על-ידי ערבי, [א1] הצית [/א1] במותו את האיבה לערבים. האש הזאת [א2] תוסיף [/א2] ללחוש, גם אם הלהבה של יום קבורתו של מאיר כהנא תדעך במקצת.",BEFORE,BEFORE
99.49.40,99,49,40," כל פעולה של איגוד נרשמת עם פירוט התקציב המצטבר, כמה [א1] הוצא [/א1] בפועל ומה היתרה. האיגודים [א2] מקבלים [/א2] אחת לחודש דוח""ות מפורטים.",BEFORE,BEFORE
101.6.18,101,6,18," חלקם אף הגיבו בשריקות מחאה. הם ודאי יודעים, כמו שחקני מכבי ומאמנם, כי לא כל שבוע [א1] פוגשים [/א1] בסנטה קלאוס, בתחפושת מאמן כדורגל וחניכיו המחלקים מתנות לכל דיכפין במגרשם [א2] פולט [/א2] הנקודות.",BEFORE,VAGUE
27.75.467,27,75,467," מותו של סאלם איסמעיל מובארק רק ריחף בחלל האולם שבו [א1] התנהל [/א1] המשפט, אך לא נחת על שולחנם של השופטים תת-ניצב אברהם מלכה, ניצב משנה זיווה פרי-הר, וסגן-ניצב משה אלכסנדרוני. על פי עסקת טיעון בין התובעת, מפקח הדס שפי, לסנגוריות, פקד יהודית עליאוף ופקד זהבה לייב, הושמטה מגיליון האישום המקורי העובדה שבנסיבות שבהן [א2] חרגו [/א2] שני הנאשמים מנוהל הפתיחה באש נהרג אדם, כפרי בן 62, אב לארבעה, שחרש באותה שעה את חלקת האדמה המשפחתית באזור בית סחור.",AFTER,AFTER
17.19.161,17,19,161," הפלשתינאים שביצעו רציחות בבקעה ובאשקלון וניסו לרצוח שתי חיילות בצומת אלונים [א1] פעלו [/א1] גם הם על דעת עצמם; באותו אופן עלולים ""לפעול"" יהודים כדי לתת פורקן לרגשותיהם הנסערים, בביצוע פיגוע שתנועת ""כך"" לא יזמה או אישרה. הדעת נותנת כי התנועה הממוסדת [א2] תקפיד [/א2] להימנע מכל מהלך העלול לסכן את חוקיות קיומה.",BEFORE,BEFORE
27.97.747,27,97,747," הרושם הזה התחזק כשהתברר שמכתב ששיגר עו""ד דרוויש נאסר, פרקליטה של משפחת ההרוג, ללשכת שר המשטרה דאז, חיים בר-לב, לא [א1] טופל [/א1] כלל, ושפניות של ח""כ דדי צוקר ושל אדי קאופמן (מעבידו של מובארק) לא נענו אף הן. רק לחץ הפרסומים ב""הארץ"" [א2] הניע [/א2] את המערכת לפעול.",BEFORE,BEFORE
89.5.29,89,5,29," אשתו האמריקאית, קארן, יושבת בחדרו לבושה בגלימה מוסלמית מסורתית סגולה ורעלה. סניגורו של הנאשם, מייקל וורן, האשים אתמול את המשטרה [א1] שהמשיכה [/א1] לחקור את הנאשם בליל שלישי במשך שלוש שעות, למרות [א2] שקיבלה [/א2] הוראה משפטית מפורשת שלא לעשות זאת.",AFTER,AFTER
65.9.81,65,9,81," כמו-כן טוען מנהל החברה כי פנה למנהל הסניף וביקש ממנו ערבות בנקאית כדי לקבל הלוואות חיצוניות נוחות (מחוץ לבנק). לטענת מנהל החברה, [א1] הודיע [/א1] לו מנהל סניף הבנק כי הוא חייב לקבל הלוואה אך ורק באמצעות מלווה בשוק האפור, אדם בשם מנחם פרבר, שאם לא כן לא [א2] יכבד [/א2] הבנק צקים של החברה.",BEFORE,BEFORE
108.13.44,108,13,44," נקודה נוספת הראויה לציון, היא שהפועל ירושלים [א1] משחק [/א1] תמיד נגד קבוצה שנחה וגם ""ריגלה"" אחריה ובכל זאת הצליחה להפגין עליונות, פרט למעידה בבית נגד מכבי רמת גן. ""מה [א2] שיקבע [/א2] בסופו של דבר זה הפליי-אוף"", אומר חרוש.",BEFORE,BEFORE
67.15.24,67,15,24, יבוא מוצרי צריכה [א1] ירד [/א1] ב8%. באוקטובר [א2] הסתכם [/א2] יצוא הסחורות ב149 מיליון ד: 66% יצוא תעשייתי; 13% יצוא יהלומים; ו3% יצוא חקלאי.,AFTER,EQUAL
85.5.18,85,5,18," קמחי [א1] תבע [/א1] לפצותו בעיקר על הפרת חוזה העבודה בטרם עת, ולשלם לו פיצויים בגובה שכרו הצפוי לעתיד, פיצויי פטורים מוגדלים בגין שנות העבודה, פדיון חופשה, גמול הודעה מוקדמת וכו, בסכום כולל של כ057 אלף ש""ח. הצדדים [א2] הסכימו [/א2] בזמנו לעקל את משרדי דיור לעולה בתל-אביב בסכום של 052 אלף דולר, כדי להבטיח שלקמחי יהיה ממה לגבות הכספים למקרה שיזכה.",BEFORE,BEFORE
1.6.14,1,6,14," המאמן רז אמר, כי קביעת משחקי המיבחן תיעשה רק לאחר [א1] שיתברר [/א1] אם הטורניר יהיה בישראל. המאמן רז [א2] ביקש [/א2] שנבחרת הנוער תתמודד עם האולימפיים של פולין, אך המשחק לא יצא לפועל בגלל חוסר תיאום לגבי המועד.",AFTER,AFTER
37.1.7,37,1,7," מרכז הכובד של הליגה האנגלית [א1] עובר [/א1] השבת מהצמרת לתחתית, מהמובילה ליוורפול ליריבתה העירונית אוורטון, המדורגת 71 ומנסה להיחלץ מהמצוקה בהנהגת מנהלה החדש-ישן הווארד קנדל. הוא פרש מתפקידו במנצסטר סיטי רק לפני שלושה ימים, כדי להחליף את קולין הארווי [א2] שישמש [/א2] מעתה סגנו.",BEFORE,BEFORE
63.4.28,63,4,28," כן נטען שהחופש שניתן אז ליוזמה החופשית [א1] הביא [/א1] מאוחר יותר לפיתוח כלכלי ולהרחבת היוזמה הפרטית בארץ-ישראל. בשלושה נושאים עיקריים [א2] עסק [/א2] הכנס: ביוזמות הכלכליות הלא-יהודיות שהיו בראשית המאה ברחבי ארץ-ישראל, ביוזמות הפרטיות ביישוב הישן בעיקר בירושלים ובצפת, וביוזמות ביישוב החדש, בעיקר במושבות הברון.",BEFORE,BEFORE
65.0.10,65,0,10,"המשפט המחוזי בתל-אביב הוגשה השבוע תביעה בסכום של 905 אלף ש""ח [א1] שהגישה [/א1] חברת הביטוח רותם נגד סוכני הביטוח אבנר קופל, בעל סוכנות ביטוח בתל-אביב, ונגד ראובן עופרי מנהל סוכנות ביטוח בחיפה. בתביעה שהוגשה בסדר דין מקוצר טוענת פרקליטת חברת הביטוח, עו""ד רחל בלומנטל, כי שני הנתבעים [א2] התקשרו [/א2] עם חברת הביטוח אושיות (בפירוק) להנפקת פוליסות ביטוח לעובדי חברת החשמל, והכספים המגיעים לרותם הם סכומי הפרמיות שנגבו מעובדי חברת החשמל (או שהיו צריכים להיגבות).",AFTER,AFTER
45.13.49,45,13,49," זה הדבר האחרון שחוסיין רוצה בו, אבל הוא לא בולם את האווירה הקיצונית [א1] וכשמתחילה [/א1] הידרדרות לאורך הגבול עם ישראל והשלטון הירדני מאפשר לגורמים קיצוניים לפעול באופן עצמאי, הוא עלול לאבד את הריבונות הירדנית וליצור תהליך של לבנוניזציה של ירדן. התופעה הזו מעניינת, כי אם אמנם יוברר בוודאות שאנשי כוחות הביטחון הכללי (משטרת הביטחון) נמנו על המחבלים, זה מעיד על כך שגם קיצוניים איסלמים רדיקליים, [א2] הצליחו [/א2] לחדור אל הגוף האחראי על ביטחון הפנים בירדן.",BEFORE,BEFORE
27.36.288,27,36,288," הוא ראה בבגין אדם שבגד באמונתו ובעמו, ובמאמר ב""גואיש פרס"" פסק כי ראש הממשלה לקה ב""חילול השם"" בכך שהפחד שלו מהגויים [א1] גבר [/א1] על יראת ה. כהנא [א2] פנה [/א2] למגזרים היותר נידחים של החברה הישראלית כדי לשאוב מתוכם את כוחו הפוליטי.",AFTER,VAGUE
69.21.132,69,21,132," דנון הסביר כי בהתאם להחלטות הממשלה ולהנחיות היועץ המשפטי לממשלה, אין לשלם שכר בגין היעדרות ובגין שביתה. מעובדי מדינה העובדים 5 ימים בשבוע [א1] ינוכו [/א1] 3 ימי-עבודה, וממי שעובדים 6 ימים בשבוע [א2] ינוכו [/א2] 4 ימים.",EQUAL,EQUAL
11.62.157,11,62,157," בקרב אקדמאים שאינם [א1] מוזמנים [/א1] לוועידות אלה שוררת ציניות רבה באשר למטר כרכי המאמרים והניירות המונפקים בחסות קרנות. אין זה סביר שעל שולחנות עיתונאים ומעצבי מדיניות רובצים כל כרכי ""אמריקן אקונומיק ריוויו"" של שלוש השנים האחרונות, אך בהחלט הגיוני שיש להם כמה כרכים [א2] המספקים [/א2] מידע בנושא נתון במינונים קטנים וחזקים.",VAGUE,VAGUE
17.30.210,17,30,210," זה [א1] המגנה [/א1] את רוצחו של מאיר כהנא, מן הראוי שישמיע את קולו נגד כל רצח, ואסור לו להיות מושפע מהשקפותיו הפוליטיות. יש ליצור אווירה ציבורית שתשים סכר מפני תעמולתה של תנועת ""כך"", ושתרחיק את הסכנה שיהודים [א2] ייפגעו [/א2] מכלים שיקותיאל בן-יעקב קרא להפעלתם.",BEFORE,BEFORE
11.55.127,11,55,127," יש אנשים [א1] המתקשים [/א1] להבטיח בפרצוף פוקר שהם יציעו פתרון לבעיה חברתית מרכזית. לאנשים אלה מומלץ ליהפך לקטליזטורים: לקבץ יחד אנשים רבים [א2] היכולים [/א2] להבטיח פתרונות או שלפחות יכולים היו, אילו סגרו אותם במרכז ועידות במשך ימים, להציע פתרון.",EQUAL,VAGUE
73.8.24,73,8,24," נסים [א1] טילפן [/א1] אל שוחט ודחק בו לקבל החלטה ללא דיחוי. הוא [א2] הסביר [/א2] כי במוצ""ש יטוס לחו""ל ואינו יכול להופיע בפני מארחיו בלי החלטות שיביאו ליישום תוכניתו לעידוד השקעות הון.",BEFORE,BEFORE
131.31.81,131,31,81, אלה הטוענים גם לארץ רחבה וגם לצדק היסטורי בלי לקחת בחשבון את העם הפלשתיני פוחדים. עד כדי כך הם [א1] פוחדים [/א1] ששר הביטחון [א2] החליט [/א2] לחדש את הקו הירוק ולסגור את השטחים.,BEFORE,BEFORE
111.1.14,111,1,14," כחלוף שבוע נחלו שתיהן הפסדי חוץ, במחזור השישי של הליגה, בלי שהצליחו אפילו להבקיע שער כדי להחזיר את הפיסגה לקבוצת מכבי חיפה, [א1] הנחשבת [/א1] על ידי מומחים ופרשנים, ובצדק, לקבוצה הטובה ביותר בעונה זו. אחרי משחקי אתמול נותר הפועל באר שבע היחיד שעדיין לא נוצח; ואת הטבלה סוגרות שלוש הקבוצות היחידות שעדיין לא [א2] השיגו [/א2] ניצחון (כפסר סבא, חולון, נתניה).",AFTER,EQUAL
27.95.693,27,95,693," מהעניין נדף ריח קשה. נוצר רושם שהרשויות הנוגעות בדבר מתחמקות מלחקור את מותו של סאלם איסמעיל מובארק, שלא היה פעיל באינתיפאדה, לא היה מעורב באירוע ביטחוני כלשהו, [א1] ייחל [/א1] לרגע [א2] שתיפסק [/א2] האלימות היהודית-פלשתינאית כדי שיוכל לשוב למסלול חייו הקודם (הוא היה אמן גילוף בעץ), נהרג על מפתן ביתו כשהוא ובני משפחתו חורשים את חלקת אדמתם.",BEFORE,BEFORE
11.71.215,11,71,215," ""איש לא אמר הבה ניצור אווירה שבה נוכל לבחור נשיא שמרן"", זוכר לזלי לנקובסקי, אחד השותפים למזימה. לנקובסקי, [א1] שניהל [/א1] את קרן סמית-ריצרדסון וכיום מנהל את מכון הדסון, אומר כי הרעיון לא היה כל-כך לתת מענקים לחשיבה הימנית כשלעצמה, אלא לתגמל חלופות לכל החשיבה השמאלית [א2] שקיבלה [/א2] עד אז תגמולים ומימון.",AFTER,AFTER
63.16.112,63,16,112," תרומת היישוב החדש לכלכלה וליוזמה הפרטית בראשית המאה עשרים היתה בשורה ארוכה של הכנסת טכנולוגיות חדישות בחקלאות ותעשייה, כמו, לדברי ד""ר שאול כץ, בפרדסנות בפתח-תקווה, ולדברי ד""ר יוסי כץ בניסיונות הראשונים [א1] שנעשו [/א1] ביישוב להקים מפעלי תעשייה חדשים, דוגמת פעילותו של ד""ר קלינקר במוצא ליד ירושלים, או מפעל השמן של נחום וילבושביץ בבן-שמן. בסיכום הכנס [א2] עלתה [/א2] השאלה, מי בנה את ארץ-ישראל בראשית המאה.",BEFORE,BEFORE
5.2.16,5,2,16," אם כל נושא משרה יפוטר מיד עם השגיאה הראשונה, [א1] תסבול [/א1] המדינה מסבב בלתי פוסק של בעלי תפקידים בכירים, חסרי ניסיון וחסרי ביטחון. [א2] מתקבל [/א2] הרושם שהיחידים במדינה הזו שאינם צריכים לחשוש מתוצאות מעשיהם הם הפוליטיקאים.",AFTER,AFTER
15.0.3,15,0,3,"אדם נהרג, אדם נרצח בידי רעולי פנים ואחר [א1] נדקר [/א1] על ידם, 803 נפצעו, לפי מקורות פלשתיניים, וכן [א2] נפצעו [/א2] שישה חיילי צה""ל ותיירת אחת באירועי השבוע בשטחים. חמישה חיילי צה""ל נפצעו באורח קל בתקריות קשות שהיו בסוף השבוע ברצועת עזה.",EQUAL,EQUAL
